,var,KS2samp_Fstat,KS2samp_pvalue,WassersteinDist,P,Q,n_clusters,pivotLength
113,PRICE,0.149657534247,3.53763121777e-156,14321.3332879,2.0,1.0,12.0,73.0
114,PRICE,0.140194063927,5.08023825387e-137,8778.34424975,2.0,1.0,12.0,120.0
115,PRICE,0.166061643836,2.05482899743e-192,11473.3569021,2.0,1.0,16.0,24.0
116,PRICE,0.122831050228,3.53823121804e-105,7314.46882368,2.0,1.0,16.0,40.0
117,PRICE,0.154337899543,4.00322523094e-166,12512.5243176,2.0,1.0,16.0,60.0
118,PRICE,0.114657534247,1.15765635556e-91,10177.7369581,2.0,1.0,16.0,73.0
119,PRICE,0.111221461187,2.91121127317e-86,6771.25373053,2.0,1.0,16.0,120.0
120,PRICE,0.261609589041,0.0,16554.4437245,2.0,2.0,4.0,24.0
121,PRICE,0.210251141553,2.40857223773e-309,12506.6709267,2.0,2.0,4.0,40.0
122,PRICE,0.260719178082,0.0,32014.8474698,2.0,2.0,4.0,60.0
123,PRICE,0.173184931507,2.37611287766e-209,10806.0195849,2.0,2.0,4.0,73.0
124,PRICE,0.179840182648,7.78227486262e-226,8718.89761207,2.0,2.0,4.0,120.0
125,PRICE,0.195479452055,4.25483158685e-267,12804.1982151,2.0,2.0,8.0,24.0
126,PRICE,0.152442922374,4.64647410977e-162,20189.5954731,2.0,2.0,8.0,40.0
127,PRICE,0.197214611872,6.78729063109e-272,14217.8142465,2.0,2.0,8.0,60.0
128,PRICE,0.148184931507,4.10699646808e-153,14800.0476308,2.0,2.0,8.0,73.0
129,PRICE,0.156244292237,2.89359008831e-170,9573.75018381,2.0,2.0,8.0,120.0
130,PRICE,0.207853881279,2.85274253319e-302,13817.0766417,2.0,2.0,12.0,24.0
131,PRICE,0.137659817352,4.1673016119e-132,6649.05021021,2.0,2.0,12.0,40.0
132,PRICE,0.161164383562,3.41982091425e-181,9746.63008395,2.0,2.0,12.0,60.0
133,PRICE,0.139292237443,2.91744172795e-135,14013.4407622,2.0,2.0,12.0,73.0
134,PRICE,0.151438356164,6.32580793737e-160,8089.36533997,2.0,2.0,12.0,120.0
135,PRICE,0.192922374429,4.15369500942e-260,17739.9218504,2.0,2.0,16.0,24.0
136,PRICE,0.122819634703,3.70099737536e-105,10067.4822476,2.0,2.0,16.0,40.0
137,PRICE,0.146301369863,3.08026539057e-149,11614.259327,2.0,2.0,16.0,60.0
138,PRICE,0.139121004566,6.276348954e-135,9785.17404722,2.0,2.0,16.0,73.0
139,PRICE,0.0961872146119,1.38872319906e-64,7117.01774491,2.0,2.0,16.0,120.0
140,PRICE,0.262363013699,0.0,16542.9053268,2.0,3.0,4.0,24.0
141,PRICE,0.192648401826,2.29968032366e-259,11628.6489821,2.0,3.0,4.0,40.0
142,PRICE,0.247157534247,0.0,13438.3438532,2.0,3.0,4.0,60.0
143,PRICE,0.236232876712,0.0,12903.3718867,2.0,3.0,4.0,73.0
144,PRICE,0.197317351598,3.5178341682e-272,10649.6028634,2.0,3.0,4.0,120.0
145,PRICE,0.197271689498,4.71138063518e-272,11483.4006525,2.0,3.0,8.0,24.0
146,PRICE,0.212328767123,1.52424965117e-315,11749.3103752,2.0,3.0,8.0,40.0
147,PRICE,0.18654109589,4.42837698203e-243,21324.7276232,2.0,3.0,8.0,60.0
148,PRICE,0.150764840183,1.67415620482e-158,9507.4241526,2.0,3.0,8.0,73.0
149,PRICE,0.114292237443,4.4219449129e-91,8129.7871985,2.0,3.0,8.0,120.0
150,PRICE,0.186164383562,4.29514410602e-242,18328.7539394,2.0,3.0,12.0,24.0
151,PRICE,0.152694063927,1.35323882665e-162,8995.86675485,2.0,3.0,12.0,40.0
152,PRICE,0.140273972603,3.54368945347e-137,9762.77320156,2.0,3.0,12.0,60.0
153,PRICE,0.121894977169,1.39427106787e-103,5829.71119354,2.0,3.0,12.0,73.0
154,PRICE,0.114817351598,6.43204497419e-92,7617.02908357,2.0,3.0,12.0,120.0
155,PRICE,0.166632420091,9.60598566061e-194,13907.7092931,2.0,3.0,16.0,24.0
156,PRICE,0.13247716895,2.42895297044e-122,8018.87383431,2.0,3.0,16.0,40.0
157,PRICE,0.156940639269,8.6279878205e-172,9434.26652335,2.0,3.0,16.0,60.0
158,PRICE,0.146152968037,6.19082505021e-149,8435.52064907,2.0,3.0,16.0,73.0
159,PRICE,0.0646803652968,2.07328459464e-29,6355.27237633,2.0,3.0,16.0,120.0
160,PRICE,0.306803652968,0.0,52907.1670376,3.0,0.0,4.0,24.0
161,PRICE,0.219714611872,0.0,13286.983616,3.0,0.0,4.0,40.0
162,PRICE,0.180422374429,2.62188727518e-227,13169.7125704,3.0,0.0,4.0,60.0
163,PRICE,0.155479452055,1.34594027119e-168,9256.64079619,3.0,0.0,4.0,73.0
164,PRICE,0.165799086758,8.3774507133e-192,12993.2198821,3.0,0.0,4.0,120.0
165,PRICE,0.200319634703,1.37273203645e-280,12227.2356147,3.0,0.0,8.0,24.0
166,PRICE,0.172408675799,1.80722384618e-207,15175.5484382,3.0,0.0,8.0,40.0
167,PRICE,0.1575456621,4.0255013779e-173,10369.7304904,3.0,0.0,8.0,60.0
168,PRICE,0.153082191781,2.00275215711e-163,7720.55848434,3.0,0.0,8.0,73.0
169,PRICE,0.137066210046,5.72394637573e-131,6810.31083461,3.0,0.0,8.0,120.0
170,PRICE,0.129200913242,2.30389527607e-116,6488.7676549,3.0,0.0,12.0,24.0
171,PRICE,0.17203196347,1.46822249919e-206,13770.8626115,3.0,0.0,12.0,40.0
172,PRICE,0.129623287671,3.98505913434e-117,8678.25801313,3.0,0.0,12.0,60.0
173,PRICE,0.143595890411,9.2511063562e-144,7698.1027704,3.0,0.0,12.0,73.0
174,PRICE,0.151221461187,1.8195910034e-159,7524.63702062,3.0,0.0,12.0,120.0
175,PRICE,0.111735159817,4.6478661646e-87,7613.06811219,3.0,0.0,16.0,24.0
176,PRICE,0.143801369863,3.57954852625e-144,8935.00636008,3.0,0.0,16.0,40.0
177,PRICE,0.12651826484,1.39141051799e-111,6924.94545909,3.0,0.0,16.0,60.0
178,PRICE,0.129611872146,4.17891284582e-117,7415.56163044,3.0,0.0,16.0,73.0
179,PRICE,0.140365296804,2.3473034069e-137,7885.84283173,3.0,0.0,16.0,120.0
180,PRICE,0.253915525114,0.0,44828.7595004,3.0,1.0,4.0,24.0
181,PRICE,0.207648401826,1.14191976266e-301,12453.8340907,3.0,1.0,4.0,40.0
182,PRICE,0.178333333333,4.78091771437e-222,16196.8670644,3.0,1.0,4.0,60.0
183,PRICE,0.188767123288,5.93619446646e-249,14036.8855949,3.0,1.0,4.0,73.0
184,PRICE,0.183116438356,3.47439441703e-234,11484.5624804,3.0,1.0,4.0,120.0
185,PRICE,0.138196347032,3.86472917152e-133,10407.8258951,3.0,1.0,8.0,24.0
